Texto,Ruta,Etiqueta,Predicción
"I come from Scranton, Pennsylvania.",/mnt/c/users/evacantin/desktop/MASTER/HAIA/Trabajo/MMUSED-fallacy/audio_clips/47_2024/18.wav,,0
I come of household.,/mnt/c/users/evacantin/desktop/MASTER/HAIA/Trabajo/MMUSED-fallacy/audio_clips/47_2024/19.wav,,0
We're at a kitchen table.,/mnt/c/users/evacantin/desktop/MASTER/HAIA/Trabajo/MMUSED-fallacy/audio_clips/47_2024/20.wav,,0
"If things weren't able to be met during the month, it was a problem.",/mnt/c/users/evacantin/desktop/MASTER/HAIA/Trabajo/MMUSED-fallacy/audio_clips/47_2024/21.wav,,0
"Price of eggs, the price of gas, the price of housing, the price of a whole range of things.",/mnt/c/users/evacantin/desktop/MASTER/HAIA/Trabajo/MMUSED-fallacy/audio_clips/47_2024/22.wav,,1
That's why I'm working so hard to make sure I deal with those problems and we're going to make sure that we reduce the price of housing.,/mnt/c/users/evacantin/desktop/MASTER/HAIA/Trabajo/MMUSED-fallacy/audio_clips/47_2024/23.wav,,1
We're going to make sure we build 2 million new units.,/mnt/c/users/evacantin/desktop/MASTER/HAIA/Trabajo/MMUSED-fallacy/audio_clips/47_2024/24.wav,,0
We're going to make sure we cap rents so corporate greed can't take over.,/mnt/c/users/evacantin/desktop/MASTER/HAIA/Trabajo/MMUSED-fallacy/audio_clips/47_2024/25.wav,,0
The combination of what I was left with in corporate greed is the reason why we're in this problem right now.,/mnt/c/users/evacantin/desktop/MASTER/HAIA/Trabajo/MMUSED-fallacy/audio_clips/47_2024/26.wav,,0
"In addition to that, we're in a situation where if you take a look at all that was done in his administration,  He didn't do much at all.",/mnt/c/users/evacantin/desktop/MASTER/HAIA/Trabajo/MMUSED-fallacy/audio_clips/47_2024/27.wav,,1
"By the time he left, there were things were in chaos, literally chaos.",/mnt/c/users/evacantin/desktop/MASTER/HAIA/Trabajo/MMUSED-fallacy/audio_clips/47_2024/28.wav,,0
And so we put things back together.,/mnt/c/users/evacantin/desktop/MASTER/HAIA/Trabajo/MMUSED-fallacy/audio_clips/47_2024/29.wav,,0
"We created, I said, those jobs.",/mnt/c/users/evacantin/desktop/MASTER/HAIA/Trabajo/MMUSED-fallacy/audio_clips/47_2024/30.wav,,1
"We make sure we had a situation where we now we brought down the price of prescription drugs, which is a major issue for many people to $15 for for a insulin shot as opposed to $400.",/mnt/c/users/evacantin/desktop/MASTER/HAIA/Trabajo/MMUSED-fallacy/audio_clips/47_2024/31.wav,,1
"No senior has to pay more than $200 for any drug, all the drugs they can include beginning next year.",/mnt/c/users/evacantin/desktop/MASTER/HAIA/Trabajo/MMUSED-fallacy/audio_clips/47_2024/32.wav,,1
"And the situation is making, and we're going to make that available to everybody, to all Americans.",/mnt/c/users/evacantin/desktop/MASTER/HAIA/Trabajo/MMUSED-fallacy/audio_clips/47_2024/33.wav,,1
"So we're working to bring down the price around the kitchen table, and that's what we're going to get done.",/mnt/c/users/evacantin/desktop/MASTER/HAIA/Trabajo/MMUSED-fallacy/audio_clips/47_2024/34.wav,,0
Thank you.,/mnt/c/users/evacantin/desktop/MASTER/HAIA/Trabajo/MMUSED-fallacy/audio_clips/47_2024/35.wav,,1
President Trump?,/mnt/c/users/evacantin/desktop/MASTER/HAIA/Trabajo/MMUSED-fallacy/audio_clips/47_2024/36.wav,,0
We had the greatest economy in the history of our country.,/mnt/c/users/evacantin/desktop/MASTER/HAIA/Trabajo/MMUSED-fallacy/audio_clips/47_2024/37.wav,,1
We have never done so well.,/mnt/c/users/evacantin/desktop/MASTER/HAIA/Trabajo/MMUSED-fallacy/audio_clips/47_2024/38.wav,,1
Everybody was amazed by it.,/mnt/c/users/evacantin/desktop/MASTER/HAIA/Trabajo/MMUSED-fallacy/audio_clips/47_2024/39.wav,,0
Other countries were copying us.,/mnt/c/users/evacantin/desktop/MASTER/HAIA/Trabajo/MMUSED-fallacy/audio_clips/47_2024/40.wav,,1
We got hit with COVID.,/mnt/c/users/evacantin/desktop/MASTER/HAIA/Trabajo/MMUSED-fallacy/audio_clips/47_2024/41.wav,,0
"And when we did, we spent the money necessary so we wouldn't end up in a Great Depression, the likes of which we had in 1929.  by the time we finished, so we did a great job.",/mnt/c/users/evacantin/desktop/MASTER/HAIA/Trabajo/MMUSED-fallacy/audio_clips/47_2024/42.wav,,1
"We got a lot of credit for the economy, a lot of credit for the military, and no wars and so many other things.",/mnt/c/users/evacantin/desktop/MASTER/HAIA/Trabajo/MMUSED-fallacy/audio_clips/47_2024/43.wav,,1
Everything was rocking good.,/mnt/c/users/evacantin/desktop/MASTER/HAIA/Trabajo/MMUSED-fallacy/audio_clips/47_2024/44.wav,,0
But the thing we never got the credit for and we should have is getting us out of that COVID mess.,/mnt/c/users/evacantin/desktop/MASTER/HAIA/Trabajo/MMUSED-fallacy/audio_clips/47_2024/45.wav,,0
He created mandates.,/mnt/c/users/evacantin/desktop/MASTER/HAIA/Trabajo/MMUSED-fallacy/audio_clips/47_2024/46.wav,,0
That was a disaster for our country.,/mnt/c/users/evacantin/desktop/MASTER/HAIA/Trabajo/MMUSED-fallacy/audio_clips/47_2024/47.wav,,0
"But other than that, we had given them back a country where the stock market actually was higher than pre-COVID, and nobody thought that was even possible.",/mnt/c/users/evacantin/desktop/MASTER/HAIA/Trabajo/MMUSED-fallacy/audio_clips/47_2024/48.wav,,1
"The only jobs he created are for illegal immigrants and bounce back jobs, a bounce back from the COVID.",/mnt/c/users/evacantin/desktop/MASTER/HAIA/Trabajo/MMUSED-fallacy/audio_clips/47_2024/49.wav,,0
He has not done a good job.,/mnt/c/users/evacantin/desktop/MASTER/HAIA/Trabajo/MMUSED-fallacy/audio_clips/47_2024/50.wav,,0
He's done a poor job.,/mnt/c/users/evacantin/desktop/MASTER/HAIA/Trabajo/MMUSED-fallacy/audio_clips/47_2024/51.wav,,1
And inflation is killing our country.,/mnt/c/users/evacantin/desktop/MASTER/HAIA/Trabajo/MMUSED-fallacy/audio_clips/47_2024/52.wav,,0
It is absolutely killing us.,/mnt/c/users/evacantin/desktop/MASTER/HAIA/Trabajo/MMUSED-fallacy/audio_clips/47_2024/53.wav,,0
" Well, look, the greatest economy in the world, he's the only one who thinks that, I think.",/mnt/c/users/evacantin/desktop/MASTER/HAIA/Trabajo/MMUSED-fallacy/audio_clips/47_2024/54.wav,,0
I don't know anybody else who thinks he had the greatest economy in the world.,/mnt/c/users/evacantin/desktop/MASTER/HAIA/Trabajo/MMUSED-fallacy/audio_clips/47_2024/55.wav,,0
"And, you know, the fact of the matter is that we plant ourselves in a situation where his economy, he rewarded the wealthy.",/mnt/c/users/evacantin/desktop/MASTER/HAIA/Trabajo/MMUSED-fallacy/audio_clips/47_2024/56.wav,,1
"He had the largest tax cut in American history, $2 trillion.",/mnt/c/users/evacantin/desktop/MASTER/HAIA/Trabajo/MMUSED-fallacy/audio_clips/47_2024/57.wav,,0
He raised a deficit larger than any president has in any one term.,/mnt/c/users/evacantin/desktop/MASTER/HAIA/Trabajo/MMUSED-fallacy/audio_clips/47_2024/58.wav,,0
"He's the only president other than Herbert Hoover who's lost more jobs than he had when he began, since Herbert Hoover.",/mnt/c/users/evacantin/desktop/MASTER/HAIA/Trabajo/MMUSED-fallacy/audio_clips/47_2024/59.wav,,1
"The idea that he did something that was significant, and the military, you know, when he was president, they were still killing people in Afghanistan.",/mnt/c/users/evacantin/desktop/MASTER/HAIA/Trabajo/MMUSED-fallacy/audio_clips/47_2024/60.wav,,1
He didn't do anything about that.,/mnt/c/users/evacantin/desktop/MASTER/HAIA/Trabajo/MMUSED-fallacy/audio_clips/47_2024/61.wav,,0
"When he was president, we were still finding ourselves in a position where you had a notion that we were this safe country.",/mnt/c/users/evacantin/desktop/MASTER/HAIA/Trabajo/MMUSED-fallacy/audio_clips/47_2024/62.wav,,1
"The truth is, I'm the only president this century  that doesn't have any, this decade, that doesn't have any troops dying anywhere in the world like he did.",/mnt/c/users/evacantin/desktop/MASTER/HAIA/Trabajo/MMUSED-fallacy/audio_clips/47_2024/63.wav,,1
Am I allowed to respond to him?,/mnt/c/users/evacantin/desktop/MASTER/HAIA/Trabajo/MMUSED-fallacy/audio_clips/47_2024/64.wav,,1
" not going to drive them higher it's just going to cause countries that have been ripping us off for years like china and many others in all fairness to china it's going to just force them to pay us a lot of money reduce our deficit tremendously and give us a lot of power for other things but he would he made a statement the only thing he was right about is i gave you the largest tax cut in history i also gave you the largest regulation cut in history that's why we had all the jobs  and the jobs went down and then they bounced back and he's taking credit for bounce back jobs you can't do that he also said he inherited nine percent inflation now he inherited almost no inflation and it stayed that way for 14 months and then it blew up under his leadership because they spent money like  a bunch of people that didn't know what they were doing, and they don't know what they were doing.",/mnt/c/users/evacantin/desktop/MASTER/HAIA/Trabajo/MMUSED-fallacy/audio_clips/47_2024/65.wav,,1
"It was the worst, probably the worst administration in history.",/mnt/c/users/evacantin/desktop/MASTER/HAIA/Trabajo/MMUSED-fallacy/audio_clips/47_2024/66.wav,,1
There's never been.,/mnt/c/users/evacantin/desktop/MASTER/HAIA/Trabajo/MMUSED-fallacy/audio_clips/47_2024/67.wav,,1
"And as far as Afghanistan is concerned, I was getting out of Afghanistan, but we were getting out with dignity, with strength, with power.",/mnt/c/users/evacantin/desktop/MASTER/HAIA/Trabajo/MMUSED-fallacy/audio_clips/47_2024/68.wav,,1
He got out.,/mnt/c/users/evacantin/desktop/MASTER/HAIA/Trabajo/MMUSED-fallacy/audio_clips/47_2024/69.wav,,1
It was the most embarrassing day in the history of our country's life.,/mnt/c/users/evacantin/desktop/MASTER/HAIA/Trabajo/MMUSED-fallacy/audio_clips/47_2024/70.wav,,1
 Because the tax cuts spurred the greatest economy that we've ever seen just prior to COVID.,/mnt/c/users/evacantin/desktop/MASTER/HAIA/Trabajo/MMUSED-fallacy/audio_clips/47_2024/71.wav,,1
"And even after COVID, it was so strong that we were able to get through COVID much better than just about any other country.",/mnt/c/users/evacantin/desktop/MASTER/HAIA/Trabajo/MMUSED-fallacy/audio_clips/47_2024/72.wav,,1
"But we spurred, that tax spurred.",/mnt/c/users/evacantin/desktop/MASTER/HAIA/Trabajo/MMUSED-fallacy/audio_clips/47_2024/73.wav,,0
"Now, when we cut the taxes, as an example, the corporate tax was cut down to 21% from 39%, plus beyond that.",/mnt/c/users/evacantin/desktop/MASTER/HAIA/Trabajo/MMUSED-fallacy/audio_clips/47_2024/74.wav,,1
"We took in more revenue with much less tax, and companies were bringing back trillions of dollars back into our country.",/mnt/c/users/evacantin/desktop/MASTER/HAIA/Trabajo/MMUSED-fallacy/audio_clips/47_2024/75.wav,,1
"The country was going like never before, and we were ready to start paying down debt.",/mnt/c/users/evacantin/desktop/MASTER/HAIA/Trabajo/MMUSED-fallacy/audio_clips/47_2024/76.wav,,1
"We were ready to start using the liquid gold right under our feet, the oil and gas right under our feet.",/mnt/c/users/evacantin/desktop/MASTER/HAIA/Trabajo/MMUSED-fallacy/audio_clips/47_2024/77.wav,,1
We were going to have something that nobody else has had.,/mnt/c/users/evacantin/desktop/MASTER/HAIA/Trabajo/MMUSED-fallacy/audio_clips/47_2024/78.wav,,0
We got hit with COVID.,/mnt/c/users/evacantin/desktop/MASTER/HAIA/Trabajo/MMUSED-fallacy/audio_clips/47_2024/79.wav,,0
We did a lot to fix it.,/mnt/c/users/evacantin/desktop/MASTER/HAIA/Trabajo/MMUSED-fallacy/audio_clips/47_2024/80.wav,,1
I gave him an unbelievable situation with all of the therapeutics and all of the things that we came up with.,/mnt/c/users/evacantin/desktop/MASTER/HAIA/Trabajo/MMUSED-fallacy/audio_clips/47_2024/81.wav,,1
We gave him something great.,/mnt/c/users/evacantin/desktop/MASTER/HAIA/Trabajo/MMUSED-fallacy/audio_clips/47_2024/82.wav,,1
"Remember, more people died under his administration, even though we had largely fixed it.",/mnt/c/users/evacantin/desktop/MASTER/HAIA/Trabajo/MMUSED-fallacy/audio_clips/47_2024/83.wav,,1
"More people died under his administration than our administration, and we were right in the middle of it, something which a lot of people don't like to talk about.",/mnt/c/users/evacantin/desktop/MASTER/HAIA/Trabajo/MMUSED-fallacy/audio_clips/47_2024/84.wav,,1
But he had far more people dying in his administration.,/mnt/c/users/evacantin/desktop/MASTER/HAIA/Trabajo/MMUSED-fallacy/audio_clips/47_2024/85.wav,,0
"He did the mandate, which is a disaster, mandating it.",/mnt/c/users/evacantin/desktop/MASTER/HAIA/Trabajo/MMUSED-fallacy/audio_clips/47_2024/86.wav,,0
The vaccine went out.,/mnt/c/users/evacantin/desktop/MASTER/HAIA/Trabajo/MMUSED-fallacy/audio_clips/47_2024/87.wav,,1
"He did a mandate on the vaccine, which is the thing that people most objected to about the vaccine.",/mnt/c/users/evacantin/desktop/MASTER/HAIA/Trabajo/MMUSED-fallacy/audio_clips/47_2024/88.wav,,0
"and he did a very poor job just a very poor job and i will tell you not only poor there but throughout the entire world we're no longer respected as a country they don't respect our leadership they don't respect the united states anymore we're like a third world nation between weaponization of his election trying to go after his political opponent all of the things he's done we've become like a third world nation and it's a shame the damage he's done to our country  And I'd love to ask him and will why he allowed millions of people to come in here from prisons, jails and mental institutions to come into our country and destroy our country.",/mnt/c/users/evacantin/desktop/MASTER/HAIA/Trabajo/MMUSED-fallacy/audio_clips/47_2024/89.wav,,1
" He had the largest national debt of any president in a four-year period, number one.",/mnt/c/users/evacantin/desktop/MASTER/HAIA/Trabajo/MMUSED-fallacy/audio_clips/47_2024/90.wav,,1
"Number two, that $2 trillion tax cut benefited the very wealthy.",/mnt/c/users/evacantin/desktop/MASTER/HAIA/Trabajo/MMUSED-fallacy/audio_clips/47_2024/91.wav,,1
What I'm going to do is fix the tax system.,/mnt/c/users/evacantin/desktop/MASTER/HAIA/Trabajo/MMUSED-fallacy/audio_clips/47_2024/92.wav,,0
"For example, we have 1,000 billionaires in America.",/mnt/c/users/evacantin/desktop/MASTER/HAIA/Trabajo/MMUSED-fallacy/audio_clips/47_2024/93.wav,,0
And what's happening?,/mnt/c/users/evacantin/desktop/MASTER/HAIA/Trabajo/MMUSED-fallacy/audio_clips/47_2024/94.wav,,0
"They're in a situation where they, in fact, pay 8.2% in taxes.",/mnt/c/users/evacantin/desktop/MASTER/HAIA/Trabajo/MMUSED-fallacy/audio_clips/47_2024/95.wav,,0
"If they just paid 24% or 25%, either one of those numbers, they'd raise $500 million, billion dollars, I should say, in a 10-year period.",/mnt/c/users/evacantin/desktop/MASTER/HAIA/Trabajo/MMUSED-fallacy/audio_clips/47_2024/96.wav,,1
We'd be able to wipe out his debt.,/mnt/c/users/evacantin/desktop/MASTER/HAIA/Trabajo/MMUSED-fallacy/audio_clips/47_2024/97.wav,,0
"We'd be able to help make sure that all those things we need to do, childcare, elder care, making sure that we continue to strengthen our healthcare system, making sure that we're able to make every single solitary person  eligible for what I've been able to do with the COVID, excuse me, with dealing with everything we have to do with, look, if we finally beat Medicare.",/mnt/c/users/evacantin/desktop/MASTER/HAIA/Trabajo/MMUSED-fallacy/audio_clips/47_2024/98.wav,,1
" Well, he's right.",/mnt/c/users/evacantin/desktop/MASTER/HAIA/Trabajo/MMUSED-fallacy/audio_clips/47_2024/99.wav,,1
He did beat Medicare.,/mnt/c/users/evacantin/desktop/MASTER/HAIA/Trabajo/MMUSED-fallacy/audio_clips/47_2024/100.wav,,0
"He beat it to death, and he's destroying Medicare because all of these people are coming in.",/mnt/c/users/evacantin/desktop/MASTER/HAIA/Trabajo/MMUSED-fallacy/audio_clips/47_2024/101.wav,,1
They're putting them on Medicare.,/mnt/c/users/evacantin/desktop/MASTER/HAIA/Trabajo/MMUSED-fallacy/audio_clips/47_2024/102.wav,,0
They're putting them on Social Security.,/mnt/c/users/evacantin/desktop/MASTER/HAIA/Trabajo/MMUSED-fallacy/audio_clips/47_2024/103.wav,,0
They're going to destroy Social Security.,/mnt/c/users/evacantin/desktop/MASTER/HAIA/Trabajo/MMUSED-fallacy/audio_clips/47_2024/104.wav,,1
This man is going to single-handedly destroy Social Security.,/mnt/c/users/evacantin/desktop/MASTER/HAIA/Trabajo/MMUSED-fallacy/audio_clips/47_2024/105.wav,,1
These millions and millions of people coming in  They're trying to put them on Social Security.,/mnt/c/users/evacantin/desktop/MASTER/HAIA/Trabajo/MMUSED-fallacy/audio_clips/47_2024/106.wav,,1
He will wipe out Social Security.,/mnt/c/users/evacantin/desktop/MASTER/HAIA/Trabajo/MMUSED-fallacy/audio_clips/47_2024/107.wav,,0
He will wipe out Medicare.,/mnt/c/users/evacantin/desktop/MASTER/HAIA/Trabajo/MMUSED-fallacy/audio_clips/47_2024/108.wav,,0
"So he was right in the way he finished that sentence, and it's a shame.",/mnt/c/users/evacantin/desktop/MASTER/HAIA/Trabajo/MMUSED-fallacy/audio_clips/47_2024/109.wav,,1
What's happened to our country in the last four years is not to be believed.,/mnt/c/users/evacantin/desktop/MASTER/HAIA/Trabajo/MMUSED-fallacy/audio_clips/47_2024/110.wav,,1
"Foreign countries, I'm friends with a lot of people, they cannot believe what happened to the United States of America.",/mnt/c/users/evacantin/desktop/MASTER/HAIA/Trabajo/MMUSED-fallacy/audio_clips/47_2024/111.wav,,1
We're no longer respected.,/mnt/c/users/evacantin/desktop/MASTER/HAIA/Trabajo/MMUSED-fallacy/audio_clips/47_2024/112.wav,,0
They don't like us.,/mnt/c/users/evacantin/desktop/MASTER/HAIA/Trabajo/MMUSED-fallacy/audio_clips/47_2024/113.wav,,0
"We give them everything they want, and they think we're stupid.",/mnt/c/users/evacantin/desktop/MASTER/HAIA/Trabajo/MMUSED-fallacy/audio_clips/47_2024/114.wav,,1
They think we're very stupid people.,/mnt/c/users/evacantin/desktop/MASTER/HAIA/Trabajo/MMUSED-fallacy/audio_clips/47_2024/115.wav,,1
"What we're doing for other countries, and they do nothing for us.",/mnt/c/users/evacantin/desktop/MASTER/HAIA/Trabajo/MMUSED-fallacy/audio_clips/47_2024/116.wav,,1
What this man has done is absolutely criminal.,/mnt/c/users/evacantin/desktop/MASTER/HAIA/Trabajo/MMUSED-fallacy/audio_clips/47_2024/117.wav,,1
" First of all, the Supreme Court just approved the abortion bill.",/mnt/c/users/evacantin/desktop/MASTER/HAIA/Trabajo/MMUSED-fallacy/audio_clips/47_2024/118.wav,,1
And I agree with their decision to have done that.,/mnt/c/users/evacantin/desktop/MASTER/HAIA/Trabajo/MMUSED-fallacy/audio_clips/47_2024/119.wav,,1
And I will not block it.,/mnt/c/users/evacantin/desktop/MASTER/HAIA/Trabajo/MMUSED-fallacy/audio_clips/47_2024/120.wav,,0
"And if you look at this whole question that you're asking, complex but not really complex, 51 years ago,  You had Roe v. Wade, and everybody wanted to get it back to the states.",/mnt/c/users/evacantin/desktop/MASTER/HAIA/Trabajo/MMUSED-fallacy/audio_clips/47_2024/121.wav,,1
"Everybody, without exception.",/mnt/c/users/evacantin/desktop/MASTER/HAIA/Trabajo/MMUSED-fallacy/audio_clips/47_2024/122.wav,,1
"Democrats, Republicans, liberals, conservatives.",/mnt/c/users/evacantin/desktop/MASTER/HAIA/Trabajo/MMUSED-fallacy/audio_clips/47_2024/123.wav,,0
Everybody wanted it back.,/mnt/c/users/evacantin/desktop/MASTER/HAIA/Trabajo/MMUSED-fallacy/audio_clips/47_2024/124.wav,,0
Religious leaders.,/mnt/c/users/evacantin/desktop/MASTER/HAIA/Trabajo/MMUSED-fallacy/audio_clips/47_2024/125.wav,,0
"And what I did is I put three great Supreme Court justices on the court, and they happened to vote in favor of killing Roe v. Wade and moving it back to the states.",/mnt/c/users/evacantin/desktop/MASTER/HAIA/Trabajo/MMUSED-fallacy/audio_clips/47_2024/126.wav,,1
This is something that everybody wanted.,/mnt/c/users/evacantin/desktop/MASTER/HAIA/Trabajo/MMUSED-fallacy/audio_clips/47_2024/127.wav,,0
"now 10 years ago or so they started talking about how many weeks and how many this getting into other things but every legal scholar throughout the world the most respected wanted it brought back to the states i did that now the states are working it out if you look at ohio it was a decision that was it was a an end result that was a little bit more liberal than you would have thought  Kansas, I would say the same thing.",/mnt/c/users/evacantin/desktop/MASTER/HAIA/Trabajo/MMUSED-fallacy/audio_clips/47_2024/128.wav,,1
Texas is different.,/mnt/c/users/evacantin/desktop/MASTER/HAIA/Trabajo/MMUSED-fallacy/audio_clips/47_2024/129.wav,,0
Florida is different.,/mnt/c/users/evacantin/desktop/MASTER/HAIA/Trabajo/MMUSED-fallacy/audio_clips/47_2024/130.wav,,0
But they're all making their own decisions right now.,/mnt/c/users/evacantin/desktop/MASTER/HAIA/Trabajo/MMUSED-fallacy/audio_clips/47_2024/131.wav,,1
"And right now, the states control it.",/mnt/c/users/evacantin/desktop/MASTER/HAIA/Trabajo/MMUSED-fallacy/audio_clips/47_2024/132.wav,,0
That's the vote of the people.,/mnt/c/users/evacantin/desktop/MASTER/HAIA/Trabajo/MMUSED-fallacy/audio_clips/47_2024/133.wav,,1
"Like Ronald Reagan, I believe in the exceptions.",/mnt/c/users/evacantin/desktop/MASTER/HAIA/Trabajo/MMUSED-fallacy/audio_clips/47_2024/134.wav,,0
I am a person that believes.,/mnt/c/users/evacantin/desktop/MASTER/HAIA/Trabajo/MMUSED-fallacy/audio_clips/47_2024/135.wav,,0
"And frankly, I think it's important to believe in the exceptions.",/mnt/c/users/evacantin/desktop/MASTER/HAIA/Trabajo/MMUSED-fallacy/audio_clips/47_2024/136.wav,,0
"Some people, you have to follow your heart.",/mnt/c/users/evacantin/desktop/MASTER/HAIA/Trabajo/MMUSED-fallacy/audio_clips/47_2024/137.wav,,0
Some people don't believe in that.,/mnt/c/users/evacantin/desktop/MASTER/HAIA/Trabajo/MMUSED-fallacy/audio_clips/47_2024/138.wav,,0
"But I believe in the exceptions for rape, incest and the life of the mother.",/mnt/c/users/evacantin/desktop/MASTER/HAIA/Trabajo/MMUSED-fallacy/audio_clips/47_2024/139.wav,,1
I think it's very important.,/mnt/c/users/evacantin/desktop/MASTER/HAIA/Trabajo/MMUSED-fallacy/audio_clips/47_2024/140.wav,,0
"Some people don't follow your heart, but you have to get elected also.",/mnt/c/users/evacantin/desktop/MASTER/HAIA/Trabajo/MMUSED-fallacy/audio_clips/47_2024/141.wav,,0
"And because that has to do with other things, you got to get elected.",/mnt/c/users/evacantin/desktop/MASTER/HAIA/Trabajo/MMUSED-fallacy/audio_clips/47_2024/142.wav,,0
"The problem they have is they're radical because they will take the life of a child in the eighth month, the ninth month and even after birth.",/mnt/c/users/evacantin/desktop/MASTER/HAIA/Trabajo/MMUSED-fallacy/audio_clips/47_2024/143.wav,,1
"After birth, if you look at the former governor of Virginia,  He was willing to do this.",/mnt/c/users/evacantin/desktop/MASTER/HAIA/Trabajo/MMUSED-fallacy/audio_clips/47_2024/144.wav,,1
"He said, we'll put the baby aside and we'll determine what we do with the baby, meaning we'll kill the baby.",/mnt/c/users/evacantin/desktop/MASTER/HAIA/Trabajo/MMUSED-fallacy/audio_clips/47_2024/145.wav,,1
What happened is we brought it back to the states and the country is now coming together on this issue.,/mnt/c/users/evacantin/desktop/MASTER/HAIA/Trabajo/MMUSED-fallacy/audio_clips/47_2024/146.wav,,1
It's been a great thing.,/mnt/c/users/evacantin/desktop/MASTER/HAIA/Trabajo/MMUSED-fallacy/audio_clips/47_2024/147.wav,,0
Thank you.,/mnt/c/users/evacantin/desktop/MASTER/HAIA/Trabajo/MMUSED-fallacy/audio_clips/47_2024/148.wav,,0
President Biden?,/mnt/c/users/evacantin/desktop/MASTER/HAIA/Trabajo/MMUSED-fallacy/audio_clips/47_2024/149.wav,,0
"It's been a terrible thing, what you've done.",/mnt/c/users/evacantin/desktop/MASTER/HAIA/Trabajo/MMUSED-fallacy/audio_clips/47_2024/150.wav,,0
The fact is that the vast majority of constitutional scholars supported Roe when it was decided.,/mnt/c/users/evacantin/desktop/MASTER/HAIA/Trabajo/MMUSED-fallacy/audio_clips/47_2024/151.wav,,1
Supported Roe.,/mnt/c/users/evacantin/desktop/MASTER/HAIA/Trabajo/MMUSED-fallacy/audio_clips/47_2024/152.wav,,0
And that's this idea that they're all against it.,/mnt/c/users/evacantin/desktop/MASTER/HAIA/Trabajo/MMUSED-fallacy/audio_clips/47_2024/153.wav,,0
It's just ridiculous.,/mnt/c/users/evacantin/desktop/MASTER/HAIA/Trabajo/MMUSED-fallacy/audio_clips/47_2024/154.wav,,1
And this is the guy who says the state should be able to have it.,/mnt/c/users/evacantin/desktop/MASTER/HAIA/Trabajo/MMUSED-fallacy/audio_clips/47_2024/155.wav,,0
"We're in a state where in six weeks, you don't even know whether you're pregnant or not, but you cannot see a doctor and have him decide on what your circumstances are, whether you need help.",/mnt/c/users/evacantin/desktop/MASTER/HAIA/Trabajo/MMUSED-fallacy/audio_clips/47_2024/156.wav,,1
"The idea that states are able to do this is a little like saying, we're going to turn civil rights back to the states.",/mnt/c/users/evacantin/desktop/MASTER/HAIA/Trabajo/MMUSED-fallacy/audio_clips/47_2024/157.wav,,1
